[DEBUG]	2022-02-03 11:35:17.386	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:17.395	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":47}
[DEBUG]	2022-02-03 11:35:17.423	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:17.439	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":48}
[DEBUG]	2022-02-03 11:35:17.475	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:17.489	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":49}
[DEBUG]	2022-02-03 11:35:17.524	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:17.540	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":50}
[DEBUG]	2022-02-03 11:35:17.573	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:17.589	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":51}
[DEBUG]	2022-02-03 11:35:17.623	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:17.639	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":52}
[DEBUG]	2022-02-03 11:35:17.690	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:17.706	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":53}
[DEBUG]	2022-02-03 11:35:17.752	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:17.777	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":54}
[DEBUG]	2022-02-03 11:35:17.807	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:17.822	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":55}
[DEBUG]	2022-02-03 11:35:17.856	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:17.872	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":56}
[DEBUG]	2022-02-03 11:35:17.906	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:17.921	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":57}
[DEBUG]	2022-02-03 11:35:17.958	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:17.973	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":58}
[DEBUG]	2022-02-03 11:35:18.006	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:18.022	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":59}
[DEBUG]	2022-02-03 11:35:18.056	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:18.075	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":43}
[WARN]	2022-02-03 11:35:18.107	ControlCalculate	edwolqtsym send null result
[ERROR]	2022-02-03 11:35:18.108	ControlCalculate	Error post result from edwolqtsym
[DEBUG]	2022-02-03 11:35:18.123	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":60}
[DEBUG]	2022-02-03 11:35:18.161	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:18.180	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":61}
[WARN]	2022-02-03 11:35:18.209	ControlCalculate	edwolqtsym send null result
[ERROR]	2022-02-03 11:35:18.210	ControlCalculate	Error post result from edwolqtsym
[DEBUG]	2022-02-03 11:35:18.223	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":62}
[WARN]	2022-02-03 11:35:18.241	ControlCalculate	edwolqtsym send null result
[ERROR]	2022-02-03 11:35:18.242	ControlCalculate	Error post result from edwolqtsym
[DEBUG]	2022-02-03 11:35:18.257	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":63}
[DEBUG]	2022-02-03 11:35:18.273	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:18.292	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":64}
[DEBUG]	2022-02-03 11:35:18.306	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:18.326	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":65}
[DEBUG]	2022-02-03 11:35:18.342	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:18.357	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":66}
[WARN]	2022-02-03 11:35:18.379	ControlCalculate	edwolqtsym send null result
[ERROR]	2022-02-03 11:35:18.381	ControlCalculate	Error post result from edwolqtsym
[DEBUG]	2022-02-03 11:35:18.394	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":67}
[DEBUG]	2022-02-03 11:35:18.418	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:18.428	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":68}
[DEBUG]	2022-02-03 11:35:18.455	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:18.466	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":69}
[DEBUG]	2022-02-03 11:35:18.476	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:18.491	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":70}
[DEBUG]	2022-02-03 11:35:18.507	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:18.522	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":71}
[DEBUG]	2022-02-03 11:35:18.544	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:18.559	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":72}
[DEBUG]	2022-02-03 11:35:18.575	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:18.590	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":73}
[DEBUG]	2022-02-03 11:35:18.608	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:18.640	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":74}
[WARN]	2022-02-03 11:35:18.657	ControlCalculate	edwolqtsym send null result
[ERROR]	2022-02-03 11:35:18.658	ControlCalculate	Error post result from edwolqtsym
[DEBUG]	2022-02-03 11:35:18.681	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":75}
[DEBUG]	2022-02-03 11:35:18.695	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:18.722	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":76}
[DEBUG]	2022-02-03 11:35:18.739	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:18.757	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":77}
[WARN]	2022-02-03 11:35:18.791	ControlCalculate	edwolqtsym send null result
[ERROR]	2022-02-03 11:35:18.792	ControlCalculate	Error post result from edwolqtsym
[DEBUG]	2022-02-03 11:35:18.802	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":78}
[DEBUG]	2022-02-03 11:35:18.824	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:18.840	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":79}
[DEBUG]	2022-02-03 11:35:18.856	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:18.872	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":80}
[DEBUG]	2022-02-03 11:35:18.889	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:18.905	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":81}
[DEBUG]	2022-02-03 11:35:18.939	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:18.955	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":82}
[DEBUG]	2022-02-03 11:35:18.975	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:18.989	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":83}
[DEBUG]	2022-02-03 11:35:19.006	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:19.022	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":84}
[DEBUG]	2022-02-03 11:35:19.039	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:19.056	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":85}
[DEBUG]	2022-02-03 11:35:19.089	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:19.105	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":43}
[DEBUG]	2022-02-03 11:35:19.122	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:19.139	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":86}
[WARN]	2022-02-03 11:35:19.158	ControlCalculate	edwolqtsym send null result
[ERROR]	2022-02-03 11:35:19.159	ControlCalculate	Error post result from edwolqtsym
[DEBUG]	2022-02-03 11:35:19.172	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":87}
[WARN]	2022-02-03 11:35:19.191	ControlCalculate	edwolqtsym send null result
[ERROR]	2022-02-03 11:35:19.192	ControlCalculate	Error post result from edwolqtsym
[DEBUG]	2022-02-03 11:35:19.222	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":61}
[DEBUG]	2022-02-03 11:35:19.240	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:19.258	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":62}
[DEBUG]	2022-02-03 11:35:19.274	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:19.289	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":88}
[DEBUG]	2022-02-03 11:35:19.307	ControlCalculate	Client:edwolqtsym post resultat
